Time,area,rain
2019-07-31 11:41:00,Wan Chai,5 to 6
2019-07-31 11:41:00,Kwun Tong,1 to 4
2019-07-31 11:41:00,Islands District,1 to 12
2019-07-31 11:41:00,Kowloon City,2
2019-07-31 11:41:00,Southern District,7 to 13
2019-07-31 11:41:00,Wong Tai Sin,1 to 3
2019-07-31 11:41:00,Yau Tsim Mong,1
2019-07-31 11:41:00,Sai Kung,0 to 4
2019-07-31 11:41:00,Sham Shui Po,1 to 2
2019-07-31 11:41:00,Eastern District,2 to 6
2019-07-31 11:41:00,Tsuen Wan,0 to 2
2019-07-31 11:41:00,Kwai Tsing,0 to 1
2019-07-31 11:41:00,Tai Po,0 to 1
2019-07-31 11:41:00,Yuen Long,0 to 1
2019-07-31 11:41:00,Central & Western District,2 to 7
2019-07-31 11:41:00,Sha Tin,0 to 2
2019-07-31 11:56:00,Yuen Long,0 to 1
2019-07-31 11:56:00,Tai Po,0 to 1
2019-07-31 11:56:00,Kwai Tsing,0 to 1
2019-07-31 11:56:00,Tsuen Wan,0 to 2
2019-07-31 11:56:00,Sha Tin,0 to 2
2019-07-31 11:56:00,Yau Tsim Mong,1
2019-07-31 11:56:00,Sham Shui Po,1 to 2
2019-07-31 11:56:00,Wong Tai Sin,1 to 3
2019-07-31 11:56:00,Kwun Tong,1 to 4
2019-07-31 11:56:00,Kowloon City,2
2019-07-31 11:56:00,Eastern District,2 to 6
2019-07-31 11:56:00,Central & Western District,2 to 7
2019-07-31 11:56:00,Wan Chai,5 to 6
2019-07-31 11:56:00,Southern District,7 to 13
2019-07-31 11:56:00,Islands District,1 to 12
2019-07-31 11:56:00,Sai Kung,0 to 4
2019-07-31 12:06:00,Kwun Tong,11 to 14
2019-07-31 12:06:00,Sham Shui Po,10 to 14
2019-07-31 12:06:00,Central & Western District,5 to 10
2019-07-31 12:06:00,Southern District,2 to 6
2019-07-31 12:06:00,Yuen Long,1 to 10
2019-07-31 12:06:00,Yau Tsim Mong,10 to 12
2019-07-31 12:06:00,Sai Kung,8 to 17
2019-07-31 12:06:00,Wong Tai Sin,14 to 17
2019-07-31 12:06:00,Tsuen Wan,7 to 18
2019-07-31 12:06:00,Tuen Mun,4 to 11
2019-07-31 12:06:00,Islands District,0 to 9
2019-07-31 12:06:00,Kowloon City,8 to 15
2019-07-31 12:06:00,Wan Chai,8 to 10
2019-07-31 12:06:00,Eastern District,4 to 9
2019-07-31 12:06:00,Kwai Tsing,9 to 16
2019-07-31 12:06:00,Sha Tin,9 to 17
2019-07-31 12:06:00,North District,0 to 2
2019-07-31 12:06:00,Tai Po,0 to 11
2019-07-31 13:02:00,Southern District,15 to 26
2019-07-31 13:02:00,Eastern District,6 to 23
2019-07-31 13:02:00,North District,1 to 8
2019-07-31 13:02:00,Sham Shui Po,12 to 17
2019-07-31 13:02:00,Central & Western District,12 to 21
2019-07-31 13:02:00,Yau Tsim Mong,13 to 16
2019-07-31 13:02:00,Sha Tin,14 to 19
2019-07-31 13:02:00,Wong Tai Sin,15 to 22
2019-07-31 13:02:00,Kowloon City,16 to 20
2019-07-31 13:02:00,Sai Kung,17 to 26
2019-07-31 13:02:00,Wan Chai,18 to 20
2019-07-31 13:02:00,Islands District,2 to 16
2019-07-31 13:02:00,Kwun Tong,21 to 26
2019-07-31 13:02:00,Yuen Long,3 to 15
2019-07-31 13:02:00,Tai Po,3 to 18
2019-07-31 13:02:00,Tuen Mun,3 to 8
2019-07-31 13:02:00,Tsuen Wan,6 to 16
2019-07-31 13:02:00,Kwai Tsing,9 to 16
2019-07-31 13:41:00,Tsuen Wan,6 to 16
2019-07-31 13:41:00,Central & Western District,12 to 21
2019-07-31 13:41:00,North District,1 to 8
2019-07-31 13:41:00,Eastern District,6 to 23
2019-07-31 13:41:00,Tuen Mun,3 to 8
2019-07-31 13:41:00,Kwai Tsing,9 to 16
2019-07-31 13:41:00,Yuen Long,3 to 15
2019-07-31 13:41:00,Kwun Tong,21 to 26
2019-07-31 13:41:00,Islands District,2 to 16
2019-07-31 13:41:00,Sai Kung,17 to 26
2019-07-31 13:41:00,Kowloon City,16 to 20
2019-07-31 13:41:00,Southern District,15 to 26
2019-07-31 13:41:00,Wong Tai Sin,15 to 22
2019-07-31 13:41:00,Sha Tin,14 to 19
2019-07-31 13:41:00,Yau Tsim Mong,13 to 16
2019-07-31 13:41:00,Wan Chai,18 to 20
2019-07-31 13:41:00,Tai Po,3 to 18
2019-07-31 13:41:00,Sham Shui Po,12 to 17
2019-07-31 14:02:00,Tsuen Wan,5 to 14
2019-07-31 14:02:00,Kwun Tong,11 to 13
2019-07-31 14:02:00,Eastern District,5 to 11
2019-07-31 14:02:00,Yau Tsim Mong,8 to 11
2019-07-31 14:02:00,Sha Tin,5 to 11
2019-07-31 14:02:00,Sai Kung,5 to 14
2019-07-31 14:02:00,Sham Shui Po,9 to 13
2019-07-31 14:02:00,Yuen Long,6 to 14
2019-07-31 14:02:00,Wan Chai,7 to 8
2019-07-31 14:02:00,Central & Western District,4 to 10
2019-07-31 14:02:00,Tuen Mun,7 to 11
2019-07-31 14:02:00,Southern District,7 to 15
2019-07-31 14:02:00,Kowloon City,11 to 15
2019-07-31 14:02:00,North District,8 to 13
2019-07-31 14:02:00,Islands District,0 to 24
2019-07-31 14:02:00,Wong Tai Sin,11 to 16
2019-07-31 14:02:00,Tai Po,7 to 14
2019-07-31 14:02:00,Kwai Tsing,7 to 11
2019-07-31 14:36:00,Kwun Tong,11 to 13
2019-07-31 14:36:00,North District,8 to 13
2019-07-31 14:36:00,Yau Tsim Mong,8 to 11
2019-07-31 14:36:00,Wan Chai,7 to 8
2019-07-31 14:36:00,Southern District,7 to 15
2019-07-31 14:36:00,Islands District,0 to 24
2019-07-31 14:36:00,Kowloon City,11 to 15
2019-07-31 14:36:00,Wong Tai Sin,11 to 16
2019-07-31 14:36:00,Tai Po,7 to 14
2019-07-31 14:36:00,Sha Tin,5 to 11
2019-07-31 14:36:00,Eastern District,5 to 11
2019-07-31 14:36:00,Tsuen Wan,5 to 14
2019-07-31 14:36:00,Sai Kung,5 to 14
2019-07-31 14:36:00,Yuen Long,6 to 14
2019-07-31 14:36:00,Tuen Mun,7 to 11
2019-07-31 14:36:00,Central & Western District,4 to 10
2019-07-31 14:36:00,Sham Shui Po,9 to 13
2019-07-31 14:36:00,Kwai Tsing,7 to 11
2019-07-31 15:02:00,Tuen Mun,2 to 11
2019-07-31 15:02:00,Yuen Long,6 to 12
2019-07-31 15:02:00,Eastern District,4 to 13
2019-07-31 15:02:00,Southern District,4 to 10
2019-07-31 15:02:00,Sai Kung,3 to 13
2019-07-31 15:02:00,Tai Po,5 to 17
2019-07-31 15:02:00,Kwai Tsing,11 to 17
2019-07-31 15:02:00,North District,2 to 22
2019-07-31 15:02:00,Islands District,1 to 25
2019-07-31 15:02:00,Sham Shui Po,16 to 18
2019-07-31 15:02:00,Wong Tai Sin,9 to 17
2019-07-31 15:02:00,Kwun Tong,11 to 15
2019-07-31 15:02:00,Kowloon City,11 to 14
2019-07-31 15:02:00,Sha Tin,6 to 17
2019-07-31 15:02:00,Wan Chai,9 to 11
2019-07-31 15:02:00,Tsuen Wan,7 to 16
2019-07-31 15:02:00,Central & Western District,8 to 13
2019-07-31 15:02:00,Yau Tsim Mong,13 to 16
2019-07-31 16:02:00,Yau Tsim Mong,0 to 1
2019-07-31 16:02:00,Wan Chai,0 to 1
2019-07-31 16:02:00,Southern District,0 to 1
2019-07-31 16:02:00,Kwai Tsing,0 to 1
2019-07-31 16:02:00,Eastern District,0 to 1
2019-07-31 16:02:00,Central & Western District,0 to 1
2019-07-31 16:02:00,Sham Shui Po,1
2019-07-31 16:02:00,Tsuen Wan,0 to 3
2019-07-31 16:02:00,Sha Tin,0 to 6
2019-07-31 16:02:00,Yuen Long,0 to 7
2019-07-31 16:02:00,Wong Tai Sin,1
2019-07-31 16:02:00,Kwun Tong,1
2019-07-31 16:02:00,Kowloon City,1
2019-07-31 16:02:00,Tai Po,1 to 6
2019-07-31 16:02:00,North District,3 to 6
2019-07-31 16:02:00,Sai Kung,0 to 2
2019-07-31 16:36:00,Yau Tsim Mong,0 to 1
2019-07-31 16:36:00,Wan Chai,0 to 1
2019-07-31 16:36:00,Southern District,0 to 1
2019-07-31 16:36:00,Kwai Tsing,0 to 1
2019-07-31 16:36:00,Sai Kung,0 to 2
2019-07-31 16:36:00,Central & Western District,0 to 1
2019-07-31 16:36:00,Tsuen Wan,0 to 3
2019-07-31 16:36:00,Eastern District,0 to 1
2019-07-31 16:36:00,Yuen Long,0 to 7
2019-07-31 16:36:00,Sha Tin,0 to 6
2019-07-31 16:36:00,North District,3 to 6
2019-07-31 16:36:00,Tai Po,1 to 6
2019-07-31 16:36:00,Kowloon City,1
2019-07-31 16:36:00,Kwun Tong,1
2019-07-31 16:36:00,Sham Shui Po,1
2019-07-31 16:36:00,Wong Tai Sin,1
2019-07-31 17:02:00,Tuen Mun,0 to 3
2019-07-31 17:02:00,Yuen Long,2 to 8
2019-07-31 17:02:00,Yau Tsim Mong,3 to 10
2019-07-31 17:02:00,Tsuen Wan,3 to 10
2019-07-31 17:02:00,Southern District,3 to 5
2019-07-31 17:02:00,Tai Po,4 to 10
2019-07-31 17:02:00,Kowloon City,4 to 13
2019-07-31 17:02:00,Wong Tai Sin,10 to 18
2019-07-31 17:02:00,Eastern District,3 to 6
2019-07-31 17:02:00,Wan Chai,4 to 6
2019-07-31 17:02:00,North District,4 to 6
2019-07-31 17:02:00,Central & Western District,4 to 8
2019-07-31 17:02:00,Kwai Tsing,5 to 11
2019-07-31 17:02:00,Sha Tin,5 to 12
2019-07-31 17:02:00,Sham Shui Po,6 to 13
2019-07-31 17:02:00,Kwun Tong,6 to 16
2019-07-31 17:02:00,Sai Kung,4 to 14
2019-07-31 17:02:00,Islands District,1 to 6
2019-07-31 17:31:00,Tai Po,4 to 10
2019-07-31 17:31:00,Eastern District,3 to 6
2019-07-31 17:31:00,Southern District,3 to 5
2019-07-31 17:31:00,Sai Kung,4 to 14
2019-07-31 17:31:00,Kowloon City,4 to 13
2019-07-31 17:31:00,Yau Tsim Mong,3 to 10
2019-07-31 17:31:00,Yuen Long,2 to 8
2019-07-31 17:31:00,North District,4 to 6
2019-07-31 17:31:00,Wong Tai Sin,10 to 18
2019-07-31 17:31:00,Islands District,1 to 6
2019-07-31 17:31:00,Tuen Mun,0 to 3
2019-07-31 17:31:00,Tsuen Wan,3 to 10
2019-07-31 17:31:00,Central & Western District,4 to 8
2019-07-31 17:31:00,Wan Chai,4 to 6
2019-07-31 17:31:00,Kwai Tsing,5 to 11
2019-07-31 17:31:00,Sha Tin,5 to 12
2019-07-31 17:31:00,Sham Shui Po,6 to 13
2019-07-31 17:31:00,Kwun Tong,6 to 16
2019-07-31 18:02:00,Sai Kung,3 to 32
2019-07-31 18:02:00,Wong Tai Sin,23 to 34
2019-07-31 18:02:00,Sha Tin,21 to 43
2019-07-31 18:02:00,Kwai Tsing,20 to 34
2019-07-31 18:02:00,Southern District,2 to 7
2019-07-31 18:02:00,Sham Shui Po,17 to 32
2019-07-31 18:02:00,Tuen Mun,10 to 23
2019-07-31 18:02:00,Central & Western District,4 to 9
2019-07-31 18:02:00,Eastern District,1 to 7
2019-07-31 18:02:00,Tai Po,1 to 25
2019-07-31 18:02:00,Islands District,0 to 9
2019-07-31 18:02:00,North District,0 to 17
2019-07-31 18:02:00,Tsuen Wan,10 to 42
2019-07-31 18:02:00,Wan Chai,5 to 7
2019-07-31 18:02:00,Yuen Long,6 to 24
2019-07-31 18:02:00,Yau Tsim Mong,7 to 15
2019-07-31 18:02:00,Kwun Tong,8 to 24
2019-07-31 18:02:00,Kowloon City,9 to 33
2019-07-31 18:46:00,Kowloon City,9 to 33
2019-07-31 18:46:00,Central & Western District,4 to 9
2019-07-31 18:46:00,Sham Shui Po,17 to 32
2019-07-31 18:46:00,Tuen Mun,10 to 23
2019-07-31 18:46:00,Southern District,2 to 7
2019-07-31 18:46:00,Kwai Tsing,20 to 34
2019-07-31 18:46:00,Eastern District,1 to 7
2019-07-31 18:46:00,Sha Tin,21 to 43
2019-07-31 18:46:00,Wong Tai Sin,23 to 34
2019-07-31 18:46:00,Tai Po,1 to 25
2019-07-31 18:46:00,Wan Chai,5 to 7
2019-07-31 18:46:00,Islands District,0 to 9
2019-07-31 18:46:00,Sai Kung,3 to 32
2019-07-31 18:46:00,Yuen Long,6 to 24
2019-07-31 18:46:00,Yau Tsim Mong,7 to 15
2019-07-31 18:46:00,Tsuen Wan,10 to 42
2019-07-31 18:46:00,North District,0 to 17
2019-07-31 18:46:00,Kwun Tong,8 to 24
2019-07-31 19:02:00,Sai Kung,5 to 22
2019-07-31 19:02:00,Eastern District,4 to 8
2019-07-31 19:02:00,Central & Western District,4 to 9
2019-07-31 19:02:00,Sha Tin,15 to 22
2019-07-31 19:02:00,North District,3 to 19
2019-07-31 19:02:00,Wong Tai Sin,10 to 17
2019-07-31 19:02:00,Tai Po,1 to 20
2019-07-31 19:02:00,Islands District,1 to 11
2019-07-31 19:02:00,Tuen Mun,4 to 7
2019-07-31 19:02:00,Tsuen Wan,5 to 30
2019-07-31 19:02:00,Southern District,5 to 9
2019-07-31 19:02:00,Yau Tsim Mong,6 to 8
2019-07-31 19:02:00,Wan Chai,7
2019-07-31 19:02:00,Kowloon City,7 to 12
2019-07-31 19:02:00,Sham Shui Po,8 to 11
2019-07-31 19:02:00,Kwun Tong,8 to 11
2019-07-31 19:02:00,Kwai Tsing,8 to 15
2019-07-31 19:02:00,Yuen Long,10 to 26
2019-07-31 19:51:00,Central & Western District,4 to 9
2019-07-31 19:51:00,Sai Kung,5 to 22
2019-07-31 19:51:00,Tsuen Wan,5 to 30
2019-07-31 19:51:00,Southern District,5 to 9
2019-07-31 19:51:00,Kowloon City,7 to 12
2019-07-31 19:51:00,Wan Chai,7
2019-07-31 19:51:00,Tuen Mun,4 to 7
2019-07-31 19:51:00,Sham Shui Po,8 to 11
2019-07-31 19:51:00,Kwun Tong,8 to 11
2019-07-31 19:51:00,Kwai Tsing,8 to 15
2019-07-31 19:51:00,Yau Tsim Mong,6 to 8
2019-07-31 19:51:00,North District,3 to 19
2019-07-31 19:51:00,Eastern District,4 to 8
2019-07-31 19:51:00,Sha Tin,15 to 22
2019-07-31 19:51:00,Yuen Long,10 to 26
2019-07-31 19:51:00,Wong Tai Sin,10 to 17
2019-07-31 19:51:00,Tai Po,1 to 20
2019-07-31 19:51:00,Islands District,1 to 11
2019-07-31 20:02:00,Islands District,4 to 23
2019-07-31 20:02:00,Sai Kung,10 to 71
2019-07-31 20:02:00,North District,0 to 7
2019-07-31 20:02:00,Tsuen Wan,11 to 26
2019-07-31 20:02:00,Sha Tin,11 to 37
2019-07-31 20:02:00,Southern District,16 to 28
2019-07-31 20:02:00,Yuen Long,2 to 18
2019-07-31 20:02:00,Central & Western District,20 to 34
2019-07-31 20:02:00,Kwai Tsing,23 to 44
2019-07-31 20:02:00,Eastern District,9 to 32
2019-07-31 20:02:00,Kwun Tong,38 to 55
2019-07-31 20:02:00,Wan Chai,26 to 31
2019-07-31 20:02:00,Kowloon City,27 to 44
2019-07-31 20:02:00,Yau Tsim Mong,29 to 33
2019-07-31 20:02:00,Wong Tai Sin,30 to 49
2019-07-31 20:02:00,Tuen Mun,9 to 21
2019-07-31 20:02:00,Sham Shui Po,32 to 54
2019-07-31 20:02:00,Tai Po,1 to 14
2019-07-31 20:26:00,Islands District,4 to 23
2019-07-31 20:26:00,Sham Shui Po,32 to 54
2019-07-31 20:26:00,Wong Tai Sin,30 to 49
2019-07-31 20:26:00,Eastern District,9 to 32
2019-07-31 20:26:00,Tuen Mun,9 to 21
2019-07-31 20:26:00,Kwun Tong,38 to 55
2019-07-31 20:26:00,Sai Kung,10 to 71
2019-07-31 20:26:00,Tsuen Wan,11 to 26
2019-07-31 20:26:00,Yau Tsim Mong,29 to 33
2019-07-31 20:26:00,North District,0 to 7
2019-07-31 20:26:00,Kowloon City,27 to 44
2019-07-31 20:26:00,Tai Po,1 to 14
2019-07-31 20:26:00,Wan Chai,26 to 31
2019-07-31 20:26:00,Southern District,16 to 28
2019-07-31 20:26:00,Central & Western District,20 to 34
2019-07-31 20:26:00,Kwai Tsing,23 to 44
2019-07-31 20:26:00,Sha Tin,11 to 37
2019-07-31 20:26:00,Yuen Long,2 to 18
2019-07-31 20:41:00,Wong Tai Sin,30 to 49
2019-07-31 20:41:00,Tai Po,1 to 14
2019-07-31 20:41:00,North District,0 to 7
2019-07-31 20:41:00,Kwai Tsing,23 to 44
2019-07-31 20:41:00,Central & Western District,20 to 34
2019-07-31 20:41:00,Yau Tsim Mong,29 to 33
2019-07-31 20:41:00,Yuen Long,2 to 18
2019-07-31 20:41:00,Eastern District,9 to 32
2019-07-31 20:41:00,Kowloon City,27 to 44
2019-07-31 20:41:00,Sham Shui Po,32 to 54
2019-07-31 20:41:00,Wan Chai,26 to 31
2019-07-31 20:41:00,Kwun Tong,38 to 55
2019-07-31 20:41:00,Tsuen Wan,11 to 26
2019-07-31 20:41:00,Islands District,4 to 23
2019-07-31 20:41:00,Sha Tin,11 to 37
2019-07-31 20:41:00,Sai Kung,10 to 71
2019-07-31 20:41:00,Southern District,16 to 28
2019-07-31 20:41:00,Tuen Mun,9 to 21
2019-07-31 21:02:00,Yau Tsim Mong,8 to 17
2019-07-31 21:02:00,Central & Western District,1 to 3
2019-07-31 21:02:00,Southern District,0 to 1
2019-07-31 21:02:00,Islands District,0 to 3
2019-07-31 21:02:00,Tuen Mun,16 to 31
2019-07-31 21:02:00,Kowloon City,15 to 27
2019-07-31 21:02:00,Tsuen Wan,9 to 49
2019-07-31 21:02:00,Sham Shui Po,16 to 27
2019-07-31 21:02:00,Tai Po,8 to 40
2019-07-31 21:02:00,Wan Chai,2 to 3
2019-07-31 21:02:00,Sai Kung,7 to 43
2019-07-31 21:02:00,Sha Tin,29 to 38
2019-07-31 21:02:00,North District,11 to 16
2019-07-31 21:02:00,Eastern District,1 to 6
2019-07-31 21:02:00,Kwai Tsing,15 to 29
2019-07-31 21:02:00,Yuen Long,11 to 41
2019-07-31 21:02:00,Kwun Tong,10 to 26
2019-07-31 21:02:00,Wong Tai Sin,25 to 36
2019-07-31 21:31:00,Kwun Tong,10 to 26
2019-07-31 21:31:00,Southern District,0 to 1
2019-07-31 21:31:00,Kwai Tsing,15 to 29
2019-07-31 21:31:00,Sha Tin,29 to 38
2019-07-31 21:31:00,Kowloon City,15 to 27
2019-07-31 21:31:00,North District,11 to 16
2019-07-31 21:31:00,Tai Po,8 to 40
2019-07-31 21:31:00,Yuen Long,11 to 41
2019-07-31 21:31:00,Sai Kung,7 to 43
2019-07-31 21:31:00,Wong Tai Sin,25 to 36
2019-07-31 21:31:00,Central & Western District,1 to 3
2019-07-31 21:31:00,Islands District,0 to 3
2019-07-31 21:31:00,Wan Chai,2 to 3
2019-07-31 21:31:00,Sham Shui Po,16 to 27
2019-07-31 21:31:00,Eastern District,1 to 6
2019-07-31 21:31:00,Tsuen Wan,9 to 49
2019-07-31 21:31:00,Yau Tsim Mong,8 to 17
2019-07-31 21:31:00,Tuen Mun,16 to 31
2019-07-31 22:02:00,Tsuen Wan,0 to 1
2019-07-31 22:02:00,Sai Kung,0 to 2
2019-07-31 22:02:00,Sha Tin,0 to 3
2019-07-31 22:02:00,North District,1 to 8
2019-07-31 22:02:00,Yuen Long,0 to 7
